# Unicode 17.0.0 symboles imprimables
Alchimie	🜨	Alchemical Symbol For Verdigris	ALCHEMICAL SYMBOL FOR VERDIGRIS|Alchemical Symbols|So
Alchimie	🜩	Alchemical Symbol For Tin Ore	ALCHEMICAL SYMBOL FOR TIN ORE|Alchemical Symbols|So
Alchimie	🜪	Alchemical Symbol For Lead Ore	ALCHEMICAL SYMBOL FOR LEAD ORE|Alchemical Symbols|So
Alchimie	🜫	Alchemical Symbol For Antimony Ore	ALCHEMICAL SYMBOL FOR ANTIMONY ORE|Alchemical Symbols|So
Alchimie	🜬	Alchemical Symbol For Sublimate Of Antimony	ALCHEMICAL SYMBOL FOR SUBLIMATE OF ANTIMONY|Alchemical Symbols|So
Alchimie	🜭	Alchemical Symbol For Salt Of Antimony	ALCHEMICAL SYMBOL FOR SALT OF ANTIMONY|Alchemical Symbols|So
Alchimie	🜮	Alchemical Symbol For Sublimate Of Salt Of Antimony	ALCHEMICAL SYMBOL FOR SUBLIMATE OF SALT OF ANTIMONY|Alchemical Symbols|So
Alchimie	🜯	Alchemical Symbol For Vinegar Of Antimony	ALCHEMICAL SYMBOL FOR VINEGAR OF ANTIMONY|Alchemical Symbols|So
Alchimie	🜰	Alchemical Symbol For Regulus Of Antimony	ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY|Alchemical Symbols|So
Alchimie	🜱	Alchemical Symbol For Regulus Of Antimony 2	ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY-2|Alchemical Symbols|So
Alchimie	🜲	Alchemical Symbol For Regulus	ALCHEMICAL SYMBOL FOR REGULUS|Alchemical Symbols|So
Alchimie	🜳	Alchemical Symbol For Regulus 2	ALCHEMICAL SYMBOL FOR REGULUS-2|Alchemical Symbols|So
Alchimie	🜴	Alchemical Symbol For Regulus 3	ALCHEMICAL SYMBOL FOR REGULUS-3|Alchemical Symbols|So
Alchimie	🜵	Alchemical Symbol For Regulus 4	ALCHEMICAL SYMBOL FOR REGULUS-4|Alchemical Symbols|So
Alchimie	🜶	Alchemical Symbol For Alkali	ALCHEMICAL SYMBOL FOR ALKALI|Alchemical Symbols|So
Alchimie	🜷	Alchemical Symbol For Alkali 2	ALCHEMICAL SYMBOL FOR ALKALI-2|Alchemical Symbols|So
Alchimie	🜸	Alchemical Symbol For Marcasite	ALCHEMICAL SYMBOL FOR MARCASITE|Alchemical Symbols|So
Alchimie	🜹	Alchemical Symbol For Sal Ammoniac	ALCHEMICAL SYMBOL FOR SAL-AMMONIAC|Alchemical Symbols|So
Alchimie	🜺	Alchemical Symbol For Arsenic	ALCHEMICAL SYMBOL FOR ARSENIC|Alchemical Symbols|So
Alchimie	🜻	Alchemical Symbol For Realgar	ALCHEMICAL SYMBOL FOR REALGAR|Alchemical Symbols|So
Alchimie	🜼	Alchemical Symbol For Realgar 2	ALCHEMICAL SYMBOL FOR REALGAR-2|Alchemical Symbols|So
Alchimie	🜽	Alchemical Symbol For Auripigment	ALCHEMICAL SYMBOL FOR AURIPIGMENT|Alchemical Symbols|So
Alchimie	🜾	Alchemical Symbol For Bismuth Ore	ALCHEMICAL SYMBOL FOR BISMUTH ORE|Alchemical Symbols|So
Alchimie	🜿	Alchemical Symbol For Tartar	ALCHEMICAL SYMBOL FOR TARTAR|Alchemical Symbols|So
Alchimie	🝀	Alchemical Symbol For Tartar 2	ALCHEMICAL SYMBOL FOR TARTAR-2|Alchemical Symbols|So
Alchimie	🝁	Alchemical Symbol For Quick Lime	ALCHEMICAL SYMBOL FOR QUICK LIME|Alchemical Symbols|So
Alchimie	🝂	Alchemical Symbol For Borax	ALCHEMICAL SYMBOL FOR BORAX|Alchemical Symbols|So
Alchimie	🝃	Alchemical Symbol For Borax 2	ALCHEMICAL SYMBOL FOR BORAX-2|Alchemical Symbols|So
Alchimie	🝄	Alchemical Symbol For Borax 3	ALCHEMICAL SYMBOL FOR BORAX-3|Alchemical Symbols|So
Alchimie	🝅	Alchemical Symbol For Alum	ALCHEMICAL SYMBOL FOR ALUM|Alchemical Symbols|So
Alchimie	🝆	Alchemical Symbol For Oil	ALCHEMICAL SYMBOL FOR OIL|Alchemical Symbols|So
Alchimie	🝇	Alchemical Symbol For Spirit	ALCHEMICAL SYMBOL FOR SPIRIT|Alchemical Symbols|So
Alchimie	🝈	Alchemical Symbol For Tincture	ALCHEMICAL SYMBOL FOR TINCTURE|Alchemical Symbols|So
Alchimie	🝉	Alchemical Symbol For Gum	ALCHEMICAL SYMBOL FOR GUM|Alchemical Symbols|So
Alchimie	🝊	Alchemical Symbol For Wax	ALCHEMICAL SYMBOL FOR WAX|Alchemical Symbols|So
Alchimie	🝋	Alchemical Symbol For Powder	ALCHEMICAL SYMBOL FOR POWDER|Alchemical Symbols|So
Alchimie	🝌	Alchemical Symbol For Calx	ALCHEMICAL SYMBOL FOR CALX|Alchemical Symbols|So
Alchimie	🝍	Alchemical Symbol For Tutty	ALCHEMICAL SYMBOL FOR TUTTY|Alchemical Symbols|So
Alchimie	🝎	Alchemical Symbol For Caput Mortuum	ALCHEMICAL SYMBOL FOR CAPUT MORTUUM|Alchemical Symbols|So
Alchimie	🝏	Alchemical Symbol For Scepter Of Jove	ALCHEMICAL SYMBOL FOR SCEPTER OF JOVE|Alchemical Symbols|So
Alchimie	🝐	Alchemical Symbol For Caduceus	ALCHEMICAL SYMBOL FOR CADUCEUS|Alchemical Symbols|So
Alchimie	🝑	Alchemical Symbol For Trident	ALCHEMICAL SYMBOL FOR TRIDENT|Alchemical Symbols|So
Alchimie	🝒	Alchemical Symbol For Starred Trident	ALCHEMICAL SYMBOL FOR STARRED TRIDENT|Alchemical Symbols|So|etoile
Alchimie	🝓	Alchemical Symbol For Lodestone	ALCHEMICAL SYMBOL FOR LODESTONE|Alchemical Symbols|So
Alchimie	🝔	Alchemical Symbol For Soap	ALCHEMICAL SYMBOL FOR SOAP|Alchemical Symbols|So
Alchimie	🝕	Alchemical Symbol For Urine	ALCHEMICAL SYMBOL FOR URINE|Alchemical Symbols|So
Alchimie	🝖	Alchemical Symbol For Horse Dung	ALCHEMICAL SYMBOL FOR HORSE DUNG|Alchemical Symbols|So
Alchimie	🝗	Alchemical Symbol For Ashes	ALCHEMICAL SYMBOL FOR ASHES|Alchemical Symbols|So
Alchimie	🝘	Alchemical Symbol For Pot Ashes	ALCHEMICAL SYMBOL FOR POT ASHES|Alchemical Symbols|So
Alchimie	🝙	Alchemical Symbol For Brick	ALCHEMICAL SYMBOL FOR BRICK|Alchemical Symbols|So
Alchimie	🝚	Alchemical Symbol For Powdered Brick	ALCHEMICAL SYMBOL FOR POWDERED BRICK|Alchemical Symbols|So
Alchimie	🝛	Alchemical Symbol For Amalgam	ALCHEMICAL SYMBOL FOR AMALGAM|Alchemical Symbols|So
Alchimie	🝜	Alchemical Symbol For Stratum Super Stratum	ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM|Alchemical Symbols|So|haut
Alchimie	🝝	Alchemical Symbol For Stratum Super Stratum 2	ALCHEMICAL SYMBOL FOR STRATUM SUPER STRATUM-2|Alchemical Symbols|So|haut
Alchimie	🝞	Alchemical Symbol For Sublimation	ALCHEMICAL SYMBOL FOR SUBLIMATION|Alchemical Symbols|So
Alchimie	🝟	Alchemical Symbol For Precipitate	ALCHEMICAL SYMBOL FOR PRECIPITATE|Alchemical Symbols|So
Alchimie	🝠	Alchemical Symbol For Distill	ALCHEMICAL SYMBOL FOR DISTILL|Alchemical Symbols|So
Alchimie	🝡	Alchemical Symbol For Dissolve	ALCHEMICAL SYMBOL FOR DISSOLVE|Alchemical Symbols|So
Alchimie	🝢	Alchemical Symbol For Dissolve 2	ALCHEMICAL SYMBOL FOR DISSOLVE-2|Alchemical Symbols|So
Alchimie	🝣	Alchemical Symbol For Purify	ALCHEMICAL SYMBOL FOR PURIFY|Alchemical Symbols|So
Alchimie	🝤	Alchemical Symbol For Putrefaction	ALCHEMICAL SYMBOL FOR PUTREFACTION|Alchemical Symbols|So
